Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,S_Close(t-1),S_Close(t-2),S_Close(t-3),S_Close(t-5),S_Open(t-1),MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,CCI,ROC,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_month_end,Is_month_start,Is_quarter_end,Is_quarter_start,Is_year_end,Is_year_start,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
2016-02-17,727.0,733.760009765625,716.6099853515625,731.969970703125,2457700,23.49734423350722,776.7481857814676,682.7588088474388,717.6400146484375,706.8900146484375,706.3599853515625,701.02001953125,718.6500244140625,713.9419921875,715.8059997558594,729.7534973144532,746.7852014160156,669.0229489135742,718.8102072787758,718.8102072787758,718.8102072787758,718.8102072787758,718.8102072787758,-8.66193042920463,-8.220692536154925,1333.3333333333335,-6.267047947196393,38.92782783458774,0.008956759968913408,35218732.99560547,31679638.995361328,2016-02-17,17,2,48,7,0,0,0,0,0,0,1,2016,2,98.00241088867188,95.83203125,93.7189712524414,92.09358978271484,94.49918365478516,96.20394897460938,101.42827529907227,1926.8199462890625,1895.5799560546875,1852.2099609375,16453.830078125,16196.41015625,16014.3798828125,717.510009765625
2016-02-18,733.9600219726562,736.0,715.5499877929688,717.510009765625,2363800,23.524826708222843,776.7506513412504,682.651344508359,731.969970703125,717.6400146484375,706.8900146484375,706.8499755859375,727.0,716.0739990234375,712.6190002441406,729.7009979248047,745.551201171875,669.846298828125,718.3768081077255,718.3768081077255,718.3768081077255,718.3768081077255,718.3768081077255,-8.360900523338842,-8.248734133591709,1333.3333333333333,-4.252848342567041,27.660908099121045,0.015599511914145197,-34180455.6640625,-2481961.1450195312,2016-02-18,18,3,49,7,0,0,0,0,0,0,1,2016,2,96.88375854492188,98.00241088867188,95.83203125,92.44733428955078,94.46763153076172,96.23167724609375,101.17089904785156,1917.8299560546875,1926.8199462890625,1851.8599853515625,16413.4296875,16453.830078125,15914.740234375,722.1099853515625
2016-02-19,715.9000244140625,724.030029296875,713.1199951171875,722.1099853515625,1745900,23.57778693954808,776.6285719259712,682.3174241677788,717.510009765625,731.969970703125,717.6400146484375,706.3599853515625,733.9600219726562,719.2239990234375,711.8269958496094,729.472998046875,744.5336010742187,670.7416488647461,719.6212005223379,719.6212005223379,719.6212005223379,719.6212005223379,719.6212005223379,-7.6628203449552075,-8.13155137586441,1333.3333333333333,-1.0848928985757824,31.2451194213976,0.01549130633169118,8031097.375488281,-7961299.737548828,2016-02-19,19,4,50,7,0,0,0,0,0,0,1,2016,2,97.17060089111328,96.88375854492188,98.00241088867188,92.31349182128906,94.4657211303711,96.26896667480469,100.92917297363282,1917.780029296875,1917.8299560546875,1829.0799560546875,16391.990234375,16413.4296875,15660.1796875,729.0499877929688
2016-02-22,729.510009765625,734.8499755859375,723.4500122070312,729.0499877929688,1875800,23.275759069481246,775.2040144768531,682.1009781989281,722.1099853515625,717.510009765625,731.969970703125,706.8900146484375,715.9000244140625,723.6559936523438,714.3559936523437,728.6524963378906,743.6118005371094,671.7114987182617,722.7641296125482,722.7641296125482,722.7641296125482,722.7641296125482,722.7641296125482,-6.47494741391597,-7.800230583474722,1333.3333333333335,3.5935514488477596,36.652634061944475,0.015459541403701187,13018056.579589844,-30781942.114257812,2016-02-22,22,0,53,8,0,0,0,0,0,0,1,2016,2,98.74818420410156,97.17060089111328,96.88375854492188,93.7189712524414,94.95908050537109,96.24554214477538,100.71880767822266,1945.5,1917.780029296875,1864.780029296875,16620.66015625,16391.990234375,15973.83984375,717.2899780273438
2016-02-23,726.0999755859375,730.9000244140625,715.6699829101562,717.2899780273438,2066600,23.378527654190997,774.5930507917803,681.0789401750164,729.0499877929688,722.1099853515625,717.510009765625,717.6400146484375,729.510009765625,723.585986328125,715.668994140625,727.8359954833984,742.7066003417968,672.5877487182618,720.9394124174801,720.9394124174801,720.9394124174801,720.9394124174801,720.9394124174801,-6.408609601226658,-7.521906387025109,1333.3333333333333,1.8646338024836184,32.242710447767855,0.017194790429609037,-24303236.181640625,-33747613.317871094,2016-02-23,23,1,54,8,0,0,0,0,0,0,1,2016,2,97.12279510498047,98.74818420410156,97.17060089111328,95.83203125,95.43331680297851,96.2144676208496,100.5091064453125,1921.27001953125,1945.5,1895.5799560546875,16431.779296875,16620.66015625,16196.41015625,720.9000244140625
2016-02-24,710.6099853515625,721.219970703125,702.02001953125,720.9000244140625,1854600,23.383423944066735,773.9583456908679,680.4246499146009,717.2899780273438,729.0499877929688,722.1099853515625,731.969970703125,726.0999755859375,721.3719970703125,717.6569946289062,727.1914978027344,741.9238012695313,673.4474987792969,720.9262830830075,720.9262830830075,720.9262830830075,720.9262830830075,720.9262830830075,-5.99562203506548,-7.2166495166331845,1333.3333333333335,2.835868353104328,61.50565658905749,0.01383164187500626,6695192.028808594,-23905707.971191406,2016-02-24,24,2,55,8,0,0,0,0,0,0,1,2016,2,98.0501937866211,97.12279510498047,98.74818420410156,98.00241088867188,96.02897720336914,96.18578262329102,100.30822998046875,1929.800048828125,1921.27001953125,1926.8199462890625,16484.990234375,16431.779296875,16453.830078125,729.1199951171875
2016-02-25,722.9299926757812,729.510009765625,713.22998046875,729.1199951171875,1807300,23.2759032583679,774.3203032208374,681.2166901873658,720.9000244140625,717.2899780273438,729.0499877929688,717.510009765625,710.6099853515625,723.693994140625,719.8839965820313,727.7684967041016,741.4978015136719,674.3641986083984,723.6575204277342,723.6575204277342,723.6575204277342,723.6575204277342,723.6575204277342,-4.948005942409964,-6.762920801788541,1333.3333333333335,3.150600594247662,87.25688807694569,0.011132128299194063,14855953.051757812,20856202.28881836,2016-02-25,25,3,56,8,0,0,0,0,0,0,1,2016,2,99.0158920288086,98.0501937866211,97.12279510498047,96.88375854492188,96.68583297729492,96.32824363708497,100.17642562866212,1951.699951171875,1929.800048828125,1917.8299560546875,16697.2890625,16484.990234375,16413.4296875,724.8599853515625
2016-02-26,733.5999755859375,736.1599731445312,721.9400024414062,724.8599853515625,2123700,22.772364835242136,772.1412262525155,681.051766911547,729.1199951171875,720.9000244140625,717.2899780273438,722.1099853515625,722.9299926757812,724.243994140625,721.7339965820313,726.5964965820312,740.7442016601562,675.2948486328125,724.0583420690103,724.0583420690103,724.0583420690103,724.0583420690103,724.0583420690103,-4.410666410180852,-6.292469923467003,1333.3333333333333,2.619061156301537,79.13204905809673,0.01160523289800012,-9046982.739257812,-49779533.18481445,2016-02-26,26,4,57,8,0,0,0,0,0,0,1,2016,2,98.89161682128906,99.0158920288086,98.0501937866211,97.17060089111328,97.34364547729493,96.39660720825195,100.0261215209961,1948.050048828125,1951.699951171875,1917.780029296875,16639.970703125,16697.2890625,16391.990234375,717.219970703125
2016-02-29,721.0,730.5999755859375,716.8400268554688,717.219970703125,2253400,21.31934317114644,767.0286826801835,681.7513099955977,724.8599853515625,729.1199951171875,720.9000244140625,729.0499877929688,733.5999755859375,721.8779907226562,722.7669921875,724.3899963378906,739.8868005371094,676.1834985351562,721.7788849470486,721.7788849470486,721.7788849470486,721.7788849470486,721.7788849470486,-4.5488697524957615,-5.943749889272755,1333.3333333333333,1.4613243702169096,60.26014873325727,0.011281268332779752,-17216009.008789062,-99442553.00292969,2016-02-29,29,0,60,9,1,0,0,0,0,0,1,2016,2,98.00241088867188,98.89161682128906,99.0158920288086,98.74818420410156,97.77198944091796,96.31868324279785,99.84506973266602,1932.22998046875,1948.050048828125,1945.5,16516.5,16639.970703125,16620.66015625,742.1699829101562
2016-03-01,721.2999877929688,742.3300170898438,718.6400146484375,742.1699829101562,3005600,18.862238436803946,760.6844713804438,685.2355176332281,717.219970703125,724.8599853515625,729.1199951171875,717.2899780273438,721.0,726.8539916992188,725.2199890136719,722.959994506836,739.1983996582031,677.1483483886718,728.5759176014178,728.5759176014178,728.5759176014178,728.5759176014178,728.5759176014178,-2.614995388762736,-5.277998989170752,1333.3333333333333,3.418143882868023,99.68706661351654,0.01780417283621219,74989756.68945312,-85960270.06835938,2016-03-01,1,1,61,9,0,1,0,0,0,0,1,2016,3,101.14805603027344,98.00241088867188,98.89161682128906,97.12279510498047,98.30359191894532,96.38465614318848,99.69509384155273,1978.3499755859375,1932.22998046875,1921.27001953125,16865.080078125,16516.5,16431.779296875,739.47998046875
